dateBought,dateSold,ticker,priceBought,priceSold,netPrice
2/07/2020,2/07/2020,DVL,577.00,368.00,-209.00
2/07/2020,2/07/2020,DVL,560.00,490.00,-70.00
2/07/2020,10/07/2020,CDY,846.28,989.60,143.32
7/07/2020,7/07/2020,ESK,557.16,557.00,-0.16
15/06/2020,7/07/2020,NVX,560.00,515.00,-45.00
9/07/2020,9/07/2020,RCE,547.99,534.80,-13.19
9/07/2020,13/07/2020,HCT,519.94,409.28,-110.66
10/07/2020,13/07/2020,DEG,511.54,407.95,-103.59
13/07/2020,14/07/2020,FBR,535.00,466.00,-69.00
3/06/2020,15/07/2020,WEB,1036.25,719.30,-316.95
15/07/2020,15/07/2020,OPY,558.40,492.80,-65.60
15/07/2020,15/07/2020,OPY,516.94,454.10,-62.84
3/07/2020,16/07/2020,DCX,560.00,601.11,41.11
3/07/2020,29/07/2020,SUD,559.97,860.79,300.82
11/08/2020,14/08/2020,MSB,518.09,755.86,237.77
20/07/2020,19/08/2020,FBR,510.89,645.70,134.81
14/07/2020,19/08/2020,CRO,528.00,767.00,239.00
15/07/2020,24/08/2020,QFE,520.00,590.00,70.00
15/07/2020,24/08/2020,SWF,519.45,557.04,37.59
14/08/2020,9/09/2020,DW8,519.99,973.56,453.57
24/08/2020,3/12/2020,APV,519.99,937.12,417.13
10/07/2020,19/01/2021,HWK,514.99,821.74,306.75
2/10/2020,10/02/2021,BBUS,519.32,318.44,-200.88
28/08/2020,10/03/2021,VOR,519.76,339.28,-180.48
10/03/2021,19/03/2021,APX,794.35,796.40,2.05
15/06/2020,15/04/2021,Z1P,1143.40,1376.25,232.85
23/06/2020,20/04/2021,CGF,557.20,666.02,108.82
3/09/2020,27/04/2021,FBR,519.98,410.51,-109.47
6/05/2021,7/05/2021,APX,699.70,689.96,-9.74
29/07/2020,29/04/2021,CAN,809.68,773.36,-36.32
11/01/2021,7/06/2021,ALU,502.48,572.88,70.40
17/02/2021,17/09/2021,WBT,518.20,613.70,95.50
26/08/2020,20/09/2021,SBR,447.14,354.29,-92.85
14/07/2020,3/11/2021,DXN,519.99,204.28,-315.71
20/01/2021,24/12/2021,APV,520.00,310.12,-209.88
28/08/2020,24/12/2021,GED,511.42,357.71,-153.71
19/01/2021,24/12/2021,CPH,538.00,166.00,-372.00
19/01/2021,30/12/2021,SBRO,1780.50,499.00,-1281.50
29/07/2020,,SO4,519.55,,-519.55
27/07/2020,24/12/2021,BUB,517.94,231.50,-286.44
15/09/2020,30/12/2021,BRN,517.76,562.01,44.25
20/08/2020,8/02/2022,PCK,1040.00,434.14,-605.86
7/05/2021,11/01/2022,Z1P,703.98,363.35,-340.63
24/01/2022,15/02/2022,FLT,884.50,1045.35,160.85
